feature,coefficient,abs_coefficient
categorical__NAME_FAMILY_STATUS_Separated,-0.040525937114428666,0.040525937114428666
categorical__NAME_INCOME_TYPE_Student,-0.04047868856339928,0.04047868856339928
numeric__FLOORSMAX_AVG,-0.04036106663908713,0.04036106663908713
numeric__LIVE_REGION_NOT_WORK_REGION,-0.03996941224669717,0.03996941224669717
categorical__ORGANIZATION_TYPE_Industry: type 8,0.038833407275437284,0.038833407275437284
categorical__WALLSMATERIAL_MODE_Others,0.03850523081847786,0.03850523081847786
numeric__LIVE_CITY_NOT_WORK_CITY,0.03837335457763526,0.03837335457763526
categorical__NAME_TYPE_SUITE_Children,-0.03812173953074044,0.03812173953074044
categorical__ORGANIZATION_TYPE_Industry: type 10,-0.03785135500219684,0.03785135500219684
numeric__OWN_CAR_AGE,0.03701446658462176,0.03701446658462176
numeric__FLAG_DOCUMENT_5,0.03695832867345129,0.03695832867345129
categorical__WALLSMATERIAL_MODE_Mixed,-0.036607606246348595,0.036607606246348595
categorical__ORGANIZATION_TYPE_Electricity,-0.03586853532884942,0.03586853532884942
numeric__FLAG_DOCUMENT_8,0.03536450941000687,0.03536450941000687
categorical__OCCUPATION_TYPE_Waiters/barmen staff,0.03472584782416313,0.03472584782416313
numeric__REG_REGION_NOT_LIVE_REGION,-0.034280915351236535,0.034280915351236535
categorical__WEEKDAY_APPR_PROCESS_START_TUESDAY,-0.03411786980958589,0.03411786980958589
categorical__NAME_HOUSING_TYPE_Municipal apartment,0.03398014669837452,0.03398014669837452
numeric__FLAG_PHONE,-0.03383341413531906,0.03383341413531906
categorical__ORGANIZATION_TYPE_Kindergarten,-0.03348686640248649,0.03348686640248649
categorical__ORGANIZATION_TYPE_Industry: type 6,-0.03335774829901605,0.03335774829901605
numeric__LIVINGAPARTMENTS_MODE,-0.03298575737719111,0.03298575737719111
categorical__OCCUPATION_TYPE_Laborers,-0.032687662834731235,0.032687662834731235
numeric__CNT_CHILDREN,-0.03243816118404059,0.03243816118404059
numeric__REG_REGION_NOT_WORK_REGION,0.032437825580486565,0.032437825580486565
numeric__REG_CITY_NOT_WORK_CITY,-0.03192710447719858,0.03192710447719858
numeric__FLAG_DOCUMENT_15,-0.03103973494076063,0.03103973494076063
categorical__OCCUPATION_TYPE_Sales staff,-0.030525162264847312,0.030525162264847312
numeric__FLAG_DOCUMENT_14,-0.029946025915844044,0.029946025915844044
numeric__FLOORSMIN_MODE,-0.029715321557194283,0.029715321557194283
numeric__NONLIVINGAREA_MEDI,0.02956237119174371,0.02956237119174371
numeric__DEF_60_CNT_SOCIAL_CIRCLE,0.02815334854772392,0.02815334854772392
categorical__ORGANIZATION_TYPE_Industry: type 11,0.027667787104049046,0.027667787104049046
numeric__AMT_REQ_CREDIT_BUREAU_MON,-0.027623476355071508,0.027623476355071508
numeric__FLAG_DOCUMENT_10,-0.027524498191730206,0.027524498191730206
categorical__OCCUPATION_TYPE_Cooking staff,0.02722218826478565,0.02722218826478565
numeric__TOTALAREA_MODE,0.025645474867997002,0.025645474867997002
numeric__YEARS_BEGINEXPLUATATION_MEDI,-0.025084018600629962,0.025084018600629962
numeric__FLAG_DOCUMENT_17,-0.024168881818784908,0.024168881818784908
categorical__ORGANIZATION_TYPE_Business Entity Type 1,-0.024143554356159037,0.024143554356159037
categorical__ORGANIZATION_TYPE_Industry: type 13,0.02358136781700737,0.02358136781700737
numeric__DAYS_BIRTH,0.023324690821143294,0.023324690821143294
numeric__FLOORSMIN_AVG,0.021832853162502556,0.021832853162502556
categorical__ORGANIZATION_TYPE_Religion,-0.021780696929400132,0.021780696929400132
numeric__APARTMENTS_MODE,-0.02068959588581357,0.02068959588581357
numeric__REGION_POPULATION_RELATIVE,0.019809992041494973,0.019809992041494973
categorical__NAME_INCOME_TYPE_Working,-0.018216957239154546,0.018216957239154546
numeric__LIVINGAREA_MODE,-0.017733125531901713,0.017733125531901713
numeric__FLAG_DOCUMENT_2,0.016886909098381808,0.016886909098381808
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,0.01632121533983733,0.01632121533983733
numeric__FLAG_CONT_MOBILE,-0.01594658716338982,0.01594658716338982
categorical__NAME_TYPE_SUITE_Other_B,0.015681100780355953,0.015681100780355953
numeric__YEARS_BUILD_MODE,-0.015375933350551409,0.015375933350551409
numeric__FLOORSMAX_MEDI,-0.015324868259836333,0.015324868259836333
numeric__FLAG_EMAIL,-0.015198638367931424,0.015198638367931424
numeric__AMT_REQ_CREDIT_BUREAU_WEEK,-0.014183578812900449,0.014183578812900449
numeric__HOUR_APPR_PROCESS_START,-0.014133152866156122,0.014133152866156122
numeric__FLAG_MOBIL,0.013714575403132232,0.013714575403132232
numeric__LANDAREA_MODE,0.013334254245481758,0.013334254245481758
numeric__NONLIVINGAPARTMENTS_AVG,-0.013100109841076171,0.013100109841076171
numeric__FLAG_DOCUMENT_12,-0.012684137315467477,0.012684137315467477
categorical__ORGANIZATION_TYPE_Insurance,0.0126295329712049,0.0126295329712049
numeric__BASEMENTAREA_MODE,-0.01167601472235714,0.01167601472235714
numeric__FLAG_DOCUMENT_20,0.011583571400106756,0.011583571400106756
numeric__AMT_REQ_CREDIT_BUREAU_DAY,0.010840404400489312,0.010840404400489312
categorical__NAME_HOUSING_TYPE_Rented apartment,-0.010746325956787844,0.010746325956787844
numeric__FLOORSMIN_MEDI,0.010512980983304344,0.010512980983304344
categorical__NAME_INCOME_TYPE_Businessman,-0.009623269443220155,0.009623269443220155
numeric__FLAG_DOCUMENT_9,0.008121019678261948,0.008121019678261948
categorical__ORGANIZATION_TYPE_Culture,0.00793896554719888,0.00793896554719888
numeric__FLAG_DOCUMENT_11,-0.007391934517139515,0.007391934517139515
categorical__ORGANIZATION_TYPE_Services,-0.007314838153353126,0.007314838153353126
numeric__YEARS_BEGINEXPLUATATION_MODE,0.0063013423594893555,0.0063013423594893555
categorical__CODE_GENDER_XNA,-0.0062500085798963805,0.0062500085798963805
numeric__FLAG_DOCUMENT_21,0.005577310303486221,0.005577310303486221
numeric__FLAG_DOCUMENT_19,-0.005335868719600555,0.005335868719600555
categorical__NAME_FAMILY_STATUS_Unknown,-0.004904610727302237,0.004904610727302237
numeric__YEARS_BEGINEXPLUATATION_AVG,0.004572033211673855,0.004572033211673855
numeric__AMT_INCOME_TOTAL,0.004539624444930112,0.004539624444930112
numeric__AMT_REQ_CREDIT_BUREAU_HOUR,-0.004135927975053388,0.004135927975053388
numeric__FLAG_DOCUMENT_7,0.003995938284330168,0.003995938284330168
numeric__FLOORSMAX_MODE,0.0029949135971311515,0.0029949135971311515
categorical__OCCUPATION_TYPE_Realty agents,-0.002924505187171359,0.002924505187171359
categorical__ORGANIZATION_TYPE_Mobile,-0.002575227906679322,0.002575227906679322
categorical__NAME_INCOME_TYPE_Maternity leave,-0.002219434151647746,0.002219434151647746
numeric__AMT_REQ_CREDIT_BUREAU_YEAR,-0.002069970137139774,0.002069970137139774
categorical__ORGANIZATION_TYPE_Other,-0.0018074387382827648,0.0018074387382827648
